,Homepage,česky,ukrajinsky
,Welcome text,Vítáme Vás na platformě Pomáhej Ukrajině!,Вітаємо Вас на платформі Допомагай Україні!
,,Pomáhej Ukrajině je centrální místo pro zprostředkování občanských nabídek pomoci uprchlíkům z Ukrajiny a pomáhajícím organizacím. Zde vložíte nabídku pomoci a zde také pomoc naleznete.,"Допомагай Україні є головним місцем, що забезпечує посередництво між індивідуальними пропозиціями допомоги біженцям, організаціями, що допомагають та людьми кому потрібна допомога. Саме тут можете запропонувати допомогу чи отримати її."
,Box Ubytování,Ubytování,Проживання 
,,"Zde najdete podstatné informace spojené s podporou ubytování uprchlíků z Ukrajiny. Odtud také můžete vložit svou nabídku ubytování, nebo najít pomáhající organizaci, která vám pomůže ubytování vyhledat.","Тут Ви знайдете важливу інформацію щодо пропозицій проживання для біженців з України. Також тут Ви можете запропонувати житло іншим або знайти організацію, яка допоможе Вам знайти житло."
,Box Hledám pomoc,"Zde můžete vyhledat materiální pomoc, tlumočení, kurzy českého jazyka/doučování, nabídky dopravy a další pomoci, a přímo o ně požádat. Hledáte-li ubytování, kontaktujte některou z pomáhajících organizací.","Тут ви можете знайти матеріальну допомогу, усний переклад, курси/репетиторство з чеської мови, транспортні пропозиції та іншу допомогу, а також безпосередньо подати заявку на отримання цієї допомоги. Якщо ви шукаєте житло, зверніться до однієї з організацій, що допомагають в цьому питанні."
,Box Nabízím pomoc,"Zde můžete vložit svou nabídku. Některé nabídky, například materiální pomoc, ale i některé služby, budou okamžitě zveřejněny a využít je může kdokoli. S ostatními nabídkami pracují pouze registrované pomáhající organizace, které pomoc zprostředkují.","Ви можете ввести свою пропозицію тут. Деякі пропозиції, наприклад, матеріальна допомога, а також деякі послуги, будуть опубліковані відразу, і ними може скористатися будь-хто. З іншими пропозиціями зможуть працювати лише зареєстровані організації, котрі і нададуть допомогу."
,Ubytování,česky,ukrajinsky
helpFindAccommodation.title,Welcome text,Pomozte uprchlíkům z Ukrajiny najít ubytování,"Допоможіть людям з України знайти житло (naschvál vynechávám slovo uprchlíky, namísto v ukrajinštině bych radši psala ""lidi"" v tomto případě)"
helpFindAccommodation.line1,,"Platforma Pomáhej Ukrajině umožňuje propojovat ubytovatele a uprchlíky z Ukrajiny. Občanské nabídky ubytování nejsou z důvodu bezpečnosti veřejně dostupné. Mají k nim přístup pouze pracovníci zhruba 600 tzv. pomáhajících organizací (nevládní organizace, charity nebo obce), které ubytování uprchlíkům zprostředkovávají.","Платформа ""Допомагай Україні"" дає змогу з'єднати людей, котрі пропонують житло та біженців з України. Такі особисті пропозиції щодо надання житла не являються загальнодоступними з міркувань безпеки. Доступ до них мають лише співробітники приблизно 600 так званих організацій, котрі допомагають (серед них неурядові організації, благодійні організації чи муніципалітети), які надають житло біженцям чи являються посередником."
helpFindAccommodation.line2,,"Pokud chcete nabídnout ubytování pro uprchlíky, přečtěte si, jak celý proces funguje a vložte svou nabídku do platformy. Níže najdete informace i o státní podpoře ubytování, kterou můžete využít.","Якщо ви хочете запропонувати житло для біженців, прочитайте, як працює цей процес, і розмістіть свою пропозицію на платформі. Нижче ви також знайдете інформацію про державну допомогу при наданні свого житла, якою ви можете скористатися."
helpFindAccommodation.line3,,"Pokud ubytování sami potřebujete, obraťte se na jednu z pomáhajících organizací.","Якщо ви самі шукаєте житло зверніться до однієї з організацій, які допомагають."
